기업명,출원수,평균출원일자,평균 인용수,출원일자숫자,산업분류
Baidu&Apollo,56,2020-03-01,4.767857143,43891,자율주행 소프트웨어
Uber Technologies,51,2020-05-04,8.862745098,43955,투자 및 운송관련서비스
TOYOTA,49,2020-09-23,2.918367347,44097,완성차 및 부품
GM Global Technology Operations LLC,39,2020-03-02,3.358974359,43892,완성차 및 부품
Hyundai Motor,34,2020-06-24,0.823529412,44006,완성차 및 부품
State Farm Mutual Automobile Insurance Company,34,2020-05-01,35,43952,투자 및 운송관련서비스
"Micron Technology, Inc.",24,2020-06-04,20,43986,자율주행 하드웨어
Waymo,21,2020-10-19,2.380952381,44123,자율주행 소프트웨어
Samsung Electronics,15,2019-10-31,9.266666667,43769,자율주행 하드웨어
Aurora,15,2020-03-07,25,43897,자율주행 소프트웨어
Motional AD,11,2021-03-22,14.72727273,44277,자율주행 소프트웨어
Tesla,10,2020-03-09,3.4,43899,완성차 및 부품
VOLKSWAGEN AG,5,2019-09-24,7.4,43732,완성차 및 부품
FORD GLOBAL TECHNOLOGIES,4,2020-05-27,4,43978,완성차 및 부품
HONDA MOTOR,4,2019-08-17,2.25,43694,완성차 및 부품
Huawei Technologies,4,2021-11-14,0,44514,자율주행 소프트웨어
