순서,출원번호,출원일자,공개번호,공개일자,공고번호,공고일자,등록번호,등록일자,발명의명칭,IPC분류,출원인,요약
1,16985460,2020.08.05,20220044033,2022.02.10,20220044033,2022.02.10,,,MULTIPLE RESOLUTION DEEP NEURAL NETWORKS FOR VEHICLE AUTONOMOUS DRIVING SYSTEMS,"G06K9/00,G06K9/62,G06N3/08,G06N3/04,G06N20/20,G06T7/00,G06T7/20,G01S17/89","Dalong Li,Stephen Horton,Neil R Garbacik","Techniques for training multiple resolution deep neural networks (DNNs) for vehicle autonomous driving comprise obtaining a training dataset for training a plurality of DNNs for an autonomous driving feature of the vehicle, sub-sampling the training dataset to obtain a plurality of training datasets comprising the training dataset and one or more sub-sampled datasets each having a different resolution than a remainder of the plurality of training datasets, training the plurality of DNNs using the plurality of training datasets, respectively, determining a plurality of outputs for the autonomous driving feature using the plurality of trained DNNs and the input data, receiving input data for the autonomous driving feature captured by a sensor device, and determining a best output for the autonomous driving feature using the plurality of outputs."
2,17229264,2021.04.13,,,11254331,2022.02.22,11254331,2022.02.22,"Learning method and learning device for updating object detector, based on deep learning, of autonomous vehicle to adapt the object detector to driving circumstance, and updating method and updating device using the same","B60W60/00,G06K9/62,G06K9/32,G06N3/08","Stradvision, Inc.","A method for updating an object detector of an autonomous vehicle to adapt the object detector to a driving circumstance is provided. The method includes steps of: a learning device (a) (i) inputting a training image, corresponding to a driving circumstance, into a circumstance-specific object detector to apply (i-1) convolution to the training image to generate a circumstance-specific feature map, (i-2) ROI pooling to the circumstance-specific feature map to generate a circumstance-specific pooled feature map, and (i-3) fully-connected operation to the circumstance-specific pooled feature map to generate circumstance-specific object detection information and (ii) inputting the circumstance-specific feature map into a circumstance-specific ranking network to (ii-1) apply deconvolution to the circumstance-specific feature map and generate a circumstance-specific segmentation map and (ii-2) generate a circumstance-specific rank score via a circumstance-specific discriminator; and (b) training the circumstance-specific object detector, the circumstance-specific deconvolutional layer, the circumstance-specific convolutional layer, and the circumstance-specific discriminator."
3,17229264,2021.04.13,20210354721,2021.11.18,20210354721,2021.11.18,,,"Learning Method and Learning Device for Updating Object Detector, Based on Deep Learning, of Autonomous Vehicle to Adapt the Object Detector to Driving Circumstance, and Updating Method and Updating Device Using the Same","B60W60/00,G06K9/62,G06N3/08,G06K9/32","Stradvision, Inc.","A method for updating an object detector of an autonomous vehicle to adapt the object defector to a driving circumstance is provided. The method includes steps of; a learning device (a) (i) inputting a training image, corresponding to a driving circumstance, into a circumstance-specific object detector to apply (i-1) convolution to the training image to generate a circumstance-specific feature map, (i-2) ROI pooling to the circumstance-specific feature map to generate a circumstance-specific pooled feature map, and (i-3) fully-connected operation to the circumstance-specific pooled feature map to generate circumstance-specific object detection information and (ii) inputting the circumstance-specific feature map into a circumstance-specific ranking network to (ii-1) apply deconvolution to the circumstance-specific feature map and generate a circumstance-specific segmentation map and (ii-2) generate a circumstance-specific rank score via a circumstance-specific discriminator; and (b) training the circumstance-specific object detector, the circumstance-specific deconvolutional layer, the circumstance-specific convolutional layer, and the circumstance-specific discriminator."
4,17073860,2020.10.19,20220119002,2022.04.21,20220119002,2022.04.21,,,System and Method for Neural Network-Based Autonomous Driving,"B60W60/00,B60W40/11,B60W40/112,B60W40/114,B60W50/04,G06N3/04,G06N3/08","Marvell Asia Pte, Ltd.","A system and corresponding method for autonomous driving of a vehicle are provided. The system comprises at least one neural network (NN) that generates at least one output for controlling the autonomous driving. The system further comprises a main data path that routes bulk sensor data to the at least one NN and a low-latency data path with reduced latency relative to the main data path. The low-latency data path routes limited sensor data to the at least one NN which, in turn, employs the limited sensor data to improve performance of the at least one NN's processing of the bulk sensor data for generating the at least one output. Improving performance of the at least one NN's processing of the bulk sensor data enables the system to, for example, identify a safety hazard sooner, enabling the autonomous driving to divert the vehicle and avoid contact with the safety hazard."
5,16519814,2019.07.23,,,11199839,2021.12.14,11199839,2021.12.14,Method of real time vehicle recognition with neuromorphic computing network for autonomous driving,"G05D1/00,G05B13/00,G08G1/16,G06K5/00,G06K7/00,G06N20/00,G05D1/02,G05B13/02","HRL Laboratories, LLC","Described is a system for online vehicle recognition in an autonomous driving environment. Using a learning network comprising an unsupervised learning component and a supervised learning component, images of moving vehicles extracted from videos captured in the autonomous driving environment are learned and classified. Vehicle feature data is extracted from input moving vehicle images. The extracted vehicle feature data is clustered into different vehicle classes using the unsupervised learning component. Vehicle class labels for the different vehicle classes are generated using the supervised learning component. Based on a vehicle class label for a moving vehicle in the autonomous driving environment, the system selects an action to be performed by the autonomous vehicle, and causes the selected action to be performed by the autonomous vehicle in the autonomous driving environment."
6,17024137,2020.09.17,20210001880,2021.01.07,20210001880,2021.01.07,,,"VEHICLE-MOUNTED CONTROL UNIT, AND METHOD AND APPARATUS FOR FPGA BASED AUTOMATIC DRIVING OF VEHICLE","B60W60/00,H04N7/18,G06K9/00,G06N3/08,G05D1/02,G05D1/00,G01S13/86","BAIDU ONLINE NETWORK TECHNOLOGY (BEIJING) CO., LTD.,BAIDU ONLINE NETWORK TECHNOLOGY (BEIJING) CO., LTD.","Embodiments of the present disclosure provide a vehicle-mounted control unit, and a method and an apparatus for FPGA based automatic driving of a vehicle, which includes a MCU and a first SoC implemented by being integrated with an ARM through the FPGA, where the vehicle-mounted control unit is set on an automatic driving vehicle, the FPGA of the first SoC receives video data sent by a vehicle-mounted camera, performs visual perception on the video data by using a first neural network algorithm to obtain first perception information; and sends the first perception information to the ARM of the first SoC. The ARM of the first SoC processes the first perception information to obtain first decision information, and sends the first decision information to the MCU. Finally, the MCU generates a control command according to the first decision information and sends it to the corresponding execution mechanism."
7,16519814,2019.07.23,20200026287,2020.01.23,20200026287,2020.01.23,,,METHOD OF REAL TIME VEHICLE RECOGNITION WITH NEUROMORPHIC COMPUTING NETWORK FOR AUTONOMOUS DRIVING,"G05D1/00,G05B13/02,G05D1/02","HRL Laboratories, LLC","Described is a system for online vehicle recognition in an autonomous driving environment. Using a learning network comprising an unsupervised learning component and a supervised learning component, images of moving vehicles extracted from videos captured in the autonomous driving environment are learned and classified. Vehicle feature data is extracted from input moving vehicle images. The extracted vehicle feature data is clustered into different vehicle classes using the unsupervised learning component. Vehicle class labels for the different vehicle classes are generated using the supervised learning component. Based on a vehicle class label for a moving vehicle in the autonomous driving environment, the system selects an action to be performed by the autonomous vehicle, and causes the selected action to be performed by the autonomous vehicle in the autonomous driving environment."
8,16709790,2019.12.10,20200180647,2020.06.11,20200180647,2020.06.11,,,NEURAL NETWORK BASED MODELING AND SIMULATION OF NON-STATIONARY TRAFFIC OBJECTS FOR TESTING AND DEVELOPMENT OF AUTONOMOUS VEHICLE SYSTEMS,"B60W50/00,G05D1/00,B60W40/04","Perceptive Automata, Inc.","A system performs modeling and simulation of non-stationary traffic entities for testing and development of modules used in an autonomous vehicle system. The system uses a machine learning based model that predicts hidden context attributes for traffic entities that may be encountered by a vehicle in traffic. The system generates simulation data for testing and development of modules that help navigate autonomous vehicles. The generated simulation data may be image or video data including representations of traffic entities, for example, pedestrians, bicyclists, and other vehicles. The system may generate simulation data using generative adversarial neural networks."
9,17396269,2021.08.06,20220041180,2022.02.10,20220041180,2022.02.10,,,SYSTEM AND METHOD FOR GENERATING AND CONTROLLING DRIVING PATHS IN AUTONOMOUS VEHICLE,"B60W60/00,B60W40/105,B60W10/20,G06N3/04,G06N3/08","Electronics and Telecommunications Research Institute,Electronics and Telecommunications Research Institute","Provided is a method of generating and controlling a driving path for an autonomous vehicle, the method including generating a driving path that matches a driving intention on the basis of sensing data acquired from a sensing module of the autonomous vehicle, determining steering angle information corresponding to the generated driving path, and controlling a steering angle of the autonomous vehicle."
10,16724833,2019.12.23,20200239029,2020.07.30,10919543,2021.02.16,10919543,2021.02.16,Learning method and learning device for determining whether to switch mode of vehicle from manual driving mode to autonomous driving mode by performing trajectory-based behavior analysis on recent driving route,"B60W60/00,H04W4/40,B60W30/095,G06K9/00,G06K9/62,G06N3/04,G06N3/08","StradVision, Inc.","A learning method for calculating collision probability, to be used for determining whether it is appropriate or not to switch driving modes of a vehicle capable of an autonomous driving, by analyzing a recent driving route of a driver is provided. And the method includes steps of: (a) a learning device, on condition that a status vector and a trajectory vector are acquired, performing processes of (i) instructing a status network to generate a status feature map and (ii) instructing a trajectory network to generate a trajectory feature map; (b) the learning device instructing a safety network to calculate a predicted collision probability representing a predicted probability of an accident occurrence; and (c) the learning device instructing a loss layer to generate a loss by referring to the predicted collision probability and a GT collision probability, which have been acquired beforehand, to learn at least part of parameters."
